2017-07-03 23:42:22,744 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [7] milliseconds
2017-07-03 23:42:22,746 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:22,761 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [15] milliseconds
2017-07-03 23:42:22,761 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductsFromContent, triggered by rule on Entity: Content
2017-07-03 23:42:22,762 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-7000
2017-07-03 23:42:22,763 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductsFromContent] finished in [2] milliseconds
2017-07-03 23:42:22,828 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-8544
2017-07-03 23:42:22,887 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:GZ-9290
2017-07-03 23:42:22,955 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-1111
2017-07-03 23:42:23,003 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-5569
2017-07-03 23:42:23,059 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:WG-9943
2017-07-03 23:42:23,099 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip1
2017-07-03 23:42:23,132 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip1
2017-07-03 23:42:23,171 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip1
2017-07-03 23:42:23,210 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip1
2017-07-03 23:42:23,240 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip2
2017-07-03 23:42:23,263 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip2
